pickup_zone,count,mean_abs_error,median_abs_error,mean_error,rmse,p95_abs_error
40.7_-73.99,111,6.006456434008608,4.261510954858519,-0.1448041383272772,8.574085839323207,19.032278301466945
40.68_-73.98,111,5.824917558344696,3.1453995366165586,1.8239201838037933,10.96366830489368,17.26453464564318
40.71_-73.95,102,5.298101945503211,3.8178991631311447,1.124727227138345,7.8922259045443885,14.012916928641287
40.69_-73.98,111,5.090196232502091,3.7143789957394375,1.1756000561609865,6.994740189146728,16.576116906842515
40.69_-74.0,106,5.069609519199477,3.0434289994993504,-0.29075934872001263,8.34297420698568,16.409891522115217
40.75_-73.94,118,4.902562468648747,3.18866278231817,0.23960344669945263,6.8773312867433445,15.565698275043916
40.74_-73.92,117,4.829831776712005,3.4417376293328363,-0.39397670049916406,6.849053575041211,12.316083692190201
40.71_-73.99,110,4.374928374469595,3.0137551297722824,0.7202821618992217,5.878505630301115,12.213841538150215
40.73_-73.74,2,4.324512830255485,4.324512830255485,-4.324512830255485,5.8999232466752405,7.936606864062997
40.81_-73.97,110,4.285567809219084,2.8720441112199326,0.4115482443266479,5.856375843131279,11.437400983495035
40.76_-73.93,114,4.099936902958007,3.1981898890255627,-0.06662867209232584,5.583816944723204,12.078615228213627
40.77_-73.88,86,4.015000410648782,3.2276700441428883,0.19700138018141528,5.058884845591654,10.221499889666651
40.82_-73.96,112,3.970890290520777,2.9560299629590294,0.3209431217792282,5.273142953160068,10.234041236423733
40.68_-73.97,102,3.7419934102748185,2.0332660025372102,0.7736349058392306,5.754263961583058,13.538886045728974
40.77_-73.92,116,3.7278058254990887,2.607141885902523,0.3843592454249279,5.212527914639364,10.147725963882674
40.71_-73.94,89,3.7096649646199915,2.2284384064627685,0.7863877801305422,5.792151657231042,10.341569643921616
40.82_-73.95,113,3.702443514614272,3.139169665836871,0.6392005500653815,4.842907917292566,9.569065332860827
40.83_-73.95,113,3.6737516623008486,2.6857375690025185,0.03187188165014211,5.005100663294298,9.626782549228396
40.72_-73.95,103,3.6573658904250186,2.435288080888661,0.6219974821074972,5.306789182835638,13.541471186624642
40.76_-73.92,111,3.562797742281363,2.4745711654399756,0.45850857208351964,5.121794028876838,11.880426228643014
40.77_-73.93,110,3.390364159747552,2.1045658825359848,-0.19742324180127424,4.884423377781266,10.38370086108373
